Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Institut fu&#x0308;r Wirtschaftsinformatik,Gravity Jack,19,19
Institut fu&#x0308;r Wirtschaftsinformatik,Saint Francis Xavier University,36,36
Institut fu&#x0308;r Wirtschaftsinformatik,Purchasing Cooperation Department,35,32
Institut fu&#x0308;r Wirtschaftsinformatik,McKinsey Consulting,26,27
Institut fu&#x0308;r Wirtschaftsinformatik,WPI,9,9
Institut fu&#x0308;r Wirtschaftsinformatik,Hubei University Of Economics,37,29
Institut fu&#x0308;r Wirtschaftsinformatik,Dalian Nationalities University,33,31
Institut fu&#x0308;r Wirtschaftsinformatik,Lipscomb Clinic,25,32
Institut fu&#x0308;r Wirtschaftsinformatik,Harokopio University,26,23
Institut fu&#x0308;r Wirtschaftsinformatik,Turku Centre for Computer Science,32,35
Institut fu&#x0308;r Wirtschaftsinformatik,Institute of Work Psychology,49,46
Institut fu&#x0308;r Wirtschaftsinformatik,Shenyang Ligong University,26,27
Institut fu&#x0308;r Wirtschaftsinformatik,"Hogeschool van Amsterdam, University of Applied Sciences",27,31
Institut fu&#x0308;r Wirtschaftsinformatik,"Universidad del Pacifico, Lima",31,26
Institut fu&#x0308;r Wirtschaftsinformatik,Universidad ESAN,24,25
Institut fu&#x0308;r Wirtschaftsinformatik,Seattle University,33,31
Institut fu&#x0308;r Wirtschaftsinformatik,Seowon University,27,24
Institut fu&#x0308;r Wirtschaftsinformatik,Kwangwoon University,26,23
Institut fu&#x0308;r Wirtschaftsinformatik,Center for Economic Education at Purdue,35,38
Institut fu&#x0308;r Wirtschaftsinformatik,University of Malaysia,34,29
Institut fu&#x0308;r Wirtschaftsinformatik,Deloitte-Touche,25,25
Institut fu&#x0308;r Wirtschaftsinformatik,University of Bahrain,35,29
Institut fu&#x0308;r Wirtschaftsinformatik,MCS,9,9
Institut fu&#x0308;r Wirtschaftsinformatik,Université du Québec á Trois-RiviéresUSA,32,37
Institut fu&#x0308;r Wirtschaftsinformatik,Lebanon Valley College,16,16
Institut fu&#x0308;r Wirtschaftsinformatik,University of Texas at Tyler,34,32
Institut fu&#x0308;r Wirtschaftsinformatik,Simsion and Associates,31,32
Institut fu&#x0308;r Wirtschaftsinformatik,Chongqing Medical University,29,26
Institut fu&#x0308;r Wirtschaftsinformatik,Xavier University of Louisiana,36,37
Institut fu&#x0308;r Wirtschaftsinformatik,NUTRITION,31,32
Institut fu&#x0308;r Wirtschaftsinformatik,Botanical Society of South Africa,35,32
Institut fu&#x0308;r Wirtschaftsinformatik,Universiteit Stellenbosch,30,27
Institut fu&#x0308;r Wirtschaftsinformatik,People's Light and Theater Company,32,29
Institut fu&#x0308;r Wirtschaftsinformatik,Rutgers University-Camden campus,30,30
Institut fu&#x0308;r Wirtschaftsinformatik,Shri Shankaracharya Institute of Technology and Management,38,38
Institut fu&#x0308;r Wirtschaftsinformatik,Tarleton State University,33,33
Institut fu&#x0308;r Wirtschaftsinformatik,Shandong University,26,23
Institut fu&#x0308;r Wirtschaftsinformatik,London South Bank University,31,32
Institut fu&#x0308;r Wirtschaftsinformatik,Soroka University Medical Center,27,33
Institut fu&#x0308;r Wirtschaftsinformatik,Alliant International University,35,33
Institut fu&#x0308;r Wirtschaftsinformatik,University of the West Indies,37,31
Institut fu&#x0308;r Wirtschaftsinformatik,Middle East Technical University (METU),30,33
Institut fu&#x0308;r Wirtschaftsinformatik,Washington State University Tri-Cities,35,41
Institut fu&#x0308;r Wirtschaftsinformatik,Ventana Corporation,30,23
Institut fu&#x0308;r Wirtschaftsinformatik,California State University Channel Islands,35,31
Institut fu&#x0308;r Wirtschaftsinformatik,Woodbury University,26,30
Institut fu&#x0308;r Wirtschaftsinformatik,Ikangai Solutions,27,28
Institut fu&#x0308;r Wirtschaftsinformatik,University of the South Pacific,38,36
Institut fu&#x0308;r Wirtschaftsinformatik,Tinwisle Corporation,35,26
Institut fu&#x0308;r Wirtschaftsinformatik,Lebanese International University,32,30
Institut fu&#x0308;r Wirtschaftsinformatik,School of Graduate Professional Studies,32,30
Institut fu&#x0308;r Wirtschaftsinformatik,Dayalbagh Educational Institute India,30,28
Institut fu&#x0308;r Wirtschaftsinformatik,China Pharmaceutical University,30,31
Institut fu&#x0308;r Wirtschaftsinformatik,"Capital Group Companies, Inc.",28,26
Institut fu&#x0308;r Wirtschaftsinformatik,Cedarville University,25,23
Institut fu&#x0308;r Wirtschaftsinformatik,University of Arizona College of Nursing,32,30
Institut fu&#x0308;r Wirtschaftsinformatik,Humboldt State University,30,33
Institut fu&#x0308;r Wirtschaftsinformatik,Senacor Technologies AG,28,31
Institut fu&#x0308;r Wirtschaftsinformatik,"Iconix, Inc.",26,24
Institut fu&#x0308;r Wirtschaftsinformatik,Johns Hopkins Bloomberg School of Public Health,29,25
Institut fu&#x0308;r Wirtschaftsinformatik,"University of Pittsburgh Medical Center, Children's Hospital of Pittsburgh",31,32
Institut fu&#x0308;r Wirtschaftsinformatik,Universidade Europeia,25,26
Institut fu&#x0308;r Wirtschaftsinformatik,Università degli Studi di Camerino,34,30
Institut fu&#x0308;r Wirtschaftsinformatik,Institute of Biomedical Technologies-CNR,44,42
Institut fu&#x0308;r Wirtschaftsinformatik,Universität zu Lübeck,32,27
Institut fu&#x0308;r Wirtschaftsinformatik,Minnesota State University,38,36
Institut fu&#x0308;r Wirtschaftsinformatik,York University,25,32
Institut fu&#x0308;r Wirtschaftsinformatik,Naval Academy,18,15
Institut fu&#x0308;r Wirtschaftsinformatik,National Fisheries Research and Development Institute (NFRDI),37,38
Institut fu&#x0308;r Wirtschaftsinformatik,Harvard Medical School,22,22
Institut fu&#x0308;r Wirtschaftsinformatik,"Proofpoint, Inc.",21,29
Institut fu&#x0308;r Wirtschaftsinformatik,Lieber Institute for Brain Development,48,33
Institut fu&#x0308;r Wirtschaftsinformatik,MIS,9,9
Institut fu&#x0308;r Wirtschaftsinformatik,University Guglielmo Marconi,31,29
Institut fu&#x0308;r Wirtschaftsinformatik,EBS Business School,26,33
Institut fu&#x0308;r Wirtschaftsinformatik,Xamax Consultancy Pty Ltd,21,33
Institut fu&#x0308;r Wirtschaftsinformatik,Bath Spa University,26,27
Institut fu&#x0308;r Wirtschaftsinformatik,Audencia-PRES LUNAM,20,23
Institut fu&#x0308;r Wirtschaftsinformatik,Ericsson Sweden,18,21
Institut fu&#x0308;r Wirtschaftsinformatik,Centre universitaire de santé McGill,33,32
Institut fu&#x0308;r Wirtschaftsinformatik,Heilbronn Business School,27,33
Institut fu&#x0308;r Wirtschaftsinformatik,Institut für Wirtschaftsinformatik Hochschule Liechtenstein,65,69
Institut fu&#x0308;r Wirtschaftsinformatik,University of Tsukuba,32,32
Institut fu&#x0308;r Wirtschaftsinformatik,US Army Accessions Command,32,33
Institut fu&#x0308;r Wirtschaftsinformatik,Ipsos,13,13
Institut fu&#x0308;r Wirtschaftsinformatik,Innovations Unleashed LLC,24,24
Institut fu&#x0308;r Wirtschaftsinformatik,"Infotech Solutions, LLC",31,29
