Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
Institute of Public Administration,UFRGS/EA/PPGA,17,21
Institute of Public Administration,University UNIPAMPA,38,30
Institute of Public Administration,Tualne University,35,31
Institute of Public Administration,Kemi-Tornio University of Applied Science,43,37
Institute of Public Administration,Information Management Group,39,35
Institute of Public Administration,ICITD,21,15
Institute of Public Administration,SST,16,16
Institute of Public Administration,Wichita State University,38,41
Institute of Public Administration,CLEAResult,18,23
Institute of Public Administration,VTC School of Business and Information Systems,45,42
Institute of Public Administration,N.L.M.,15,15
Institute of Public Administration,NACSIS,20,20
Institute of Public Administration,Office of Research and Development,38,32
Institute of Public Administration,Open Text Corp,25,25
Institute of Public Administration,CLARITECH Corporation,44,33
Institute of Public Administration,Bentley University,35,27
Institute of Public Administration,Curtain University,31,35
Institute of Public Administration,The Global Training division,48,39
Institute of Public Administration,ESE,11,11
Institute of Public Administration,School of Business at Queen's University,35,35
Institute of Public Administration,Taibah University,31,31
Institute of Public Administration,Southern Denmark University,36,36
Institute of Public Administration,Taipei Municipal Bai-Ling Senior High School,38,33
Institute of Public Administration,Beijing Institute of Biotechnology,53,53
Institute of Public Administration,Bahrain Training Institute,37,57
Institute of Public Administration,National University Health System,36,42
Institute of Public Administration,Lotus Development GmbH,29,29
Institute of Public Administration,International University of Grand-Bassam,38,46
Institute of Public Administration,Georgia Gwinett College,32,25
Institute of Public Administration,BluSpecs,19,14
Institute of Public Administration,Draper Fisher Jurvetson,32,32
Institute of Public Administration,O'Reilly Media,25,29
Institute of Public Administration,Accel Partners,29,21
Institute of Public Administration,Khosla Ventures,24,29
Institute of Public Administration,Enlitic,24,24
Institute of Public Administration,DeepMind Technologies Limited,35,41
Institute of Public Administration,Techonomy Media,29,29
Institute of Public Administration,Fakultät für Informatik (118),35,27
Institute of Public Administration,Information Systems Dept,31,45
Institute of Public Administration,Keck Graduate Institute,35,56
Institute of Public Administration,Nottingham Business School,33,37
Institute of Public Administration,Alibaba Group,21,26
Institute of Public Administration,"La Salle University, Philadelphia",33,30
Institute of Public Administration,Coalition for Gun Control,41,44
Institute of Public Administration,Delta State University,36,39
Institute of Public Administration,State University,40,36
Institute of Public Administration,Industry Technology Mortgage Bankers Association of America,39,45
Institute of Public Administration,Family Practice Physician,37,37
Institute of Public Administration,Orange County Department of Education,42,37
Institute of Public Administration,Technical University of British Columbia,41,30
Institute of Public Administration,Principal Financial Group,37,37
Institute of Public Administration,Izmir Yüksek Teknoloji Enstitüsü,36,38
Institute of Public Administration,Nagaoka University of Technology,33,30
Institute of Public Administration,IMS Government Solutions,38,34
Institute of Public Administration,University of Notre Dame,41,41
Institute of Public Administration,Salisbury State University,37,40
Institute of Public Administration,Corporate Technical Webmaster,32,25
Institute of Public Administration,Ernst and Young Denmark,35,39
Institute of Public Administration,Comilla University,27,31
Institute of Public Administration,Airbus Group SE,29,33
