,Affiliation1,Affiliation2,Ratio,Token_Sort_Ratio
2594,University of Muünster,University of Miinster,91,93
2857,University of Muünster,University of Mönster,93,98
6887,The Bahá'í Institute for Higher Education (BIHE),Bahai Institute for Higher Education (BIHE,89,93
4080,Euro-Arab Management School,Euro-Arab Management School,100,100
5674,Clarkson University,Clarion University,92,92
6313,Clarkson University,Clark University,91,91
7798,Findwise AB,Findwise AB,100,100
8901,Findwise AB,Findwise AB,100,100
3936,Vector Consulting Services GmbH,Vector Consulting Services,91,91
5854,Vector Consulting Services GmbH,Vector Consulting Services,91,91
6779,Saint John’s University,St John's University,88,93
7352,Saint John’s University,St. John's University,86,93
7353,Saint John’s University,St. John's University,86,93
587,Instituto Technologico Autonome de,Instituto Technologo Autonomo de,94,94
3391,South University,Southern University,91,91
3472,South University,Southern University,91,91
4506,Harbin Institute of Technology,Huaiyin Institute of Technology,92,92
5148,Kent University,University of Kent,61,91
7448,Deloitte Consulting,Deloitte Consulting,100,100
8692,Deloitte Consulting,Deloitte Consulting,100,100
6505,Fuan University,Fudan Universit,93,93
763,Yuhan College,Yuhan College,100,100
817,Yuhan College,Yuhan College,100,100
1158,Yuhan College,Yuhan College,100,100
7815,Yuhan College,Yuhan College,100,100
8848,Nanjing University of Traditional Chinese Medicine,Jiangxi University of Traditional Chinese Medicine,94,84
5589,Ernst and Young,Ernst and Young,100,100
8550,Ernst and Young,Ernst and Young,100,100
9189,Ernst and Young,Ernst and Young,100,100
9489,Ernst and Young,Ernst and Young,100,100
9644,Ernst and Young,Ernst and Young,100,100
2202,Novell Pty Ltd,Novell Pvt. Ltd,90,93
1224,Dickson Computer Systems,Dickson Computer Systems,100,100
7691,Deloitte Consulting,Deloitte Consulting,100,100
7278,Hanzhong University,Hanzhong University,100,100
2534,University of Denver,University of Denve,97,97
2589,Carnegie Mellon University,Carnegie Mellon Unveristy,94,94
3798,Carnegie Mellon University,Carnegie Mellon Univerity,98,98
5015,Carnegie Mellon University,University of Carnegie Mellon,55,95
3705,Southern University,University of Southern,49,93
7106,Universitas 21 Global,Universitas 21 Global,100,100
2490,Nanjing University of Post and TeleCommunications,Chongqing University of Posts and Telecommunications,91,91
1979,School of Management,School of Management,100,100
2036,School of Management,School of Management,100,100
2548,School of Management,School Management,92,92
3006,School of Management,School of Management,100,100
4670,School of Management,School of Management,100,100
5122,School of Management,School Management,92,92
5236,School of Management,School of Management,100,100
2471,Terry College of Business,Terry College of Business,100,100
4963,Yeungnam University,Kyungnam University,95,53
5216,Western University,Western University,100,100
7438,Western University,University of Western,51,92
7488,Western University,Webster University,94,94
9444,Western University,Western University,100,100
6237,National Institute for Mathematical Sciences (NIMS),National Institute for Mathematical Sciences,93,95
5446,Shanghai Institute of Technology,Huaihai Institute of Technology,92,73
3216,Kyunggi University,Kyungil University,94,94
5492,Kyunggi University,Kyonggi University,94,94
1169,Tungnan University,Yunnan University,91,57
9717,University of Business and Law,EBS University of Business and Law,94,94
7155,Shaanxi Precision Metal Group,Shanxi Precision Metal Group,98,98
4599,University ‘Guglielmo Marconi’ of Rome,University of Guglielmo Marconi,81,93
9522,Deloitte Consulting GmbH,Deloitte Consulting BV,91,83
3296,School of Management,School of Management,100,100
3808,School of Management,School Management,92,92
4266,School of Management,School of Management,100,100
5930,School of Management,School of Management,100,100
6382,School of Management,School Management,92,92
6496,School of Management,School of Management,100,100
6470,Tennessee Technological University,Tennessee Technological University,100,100
1629,ACM Education Board,ACM Education Board,100,100
9329,Anna University,Hannam University,94,94
8020,State University,State University,100,100
9990,State University,State University,100,100
3553,University of Bamberg,University of Bambergxs,95,95
1922,Pohang University of Science and Technology,University of Science and Technology,91,91
1933,Pohang University of Science and Technology,Jiangxi University of Science and Technology,92,85
2276,Pohang University of Science and Technology,Huazhong University of Science and Technology,93,86
2314,Pohang University of Science and Technology,Nanjing University of Science and Technology,92,85
3385,Pohang University of Science and Technology,Jiangsu University of Science and Technology,92,85
3412,Pohang University of Science and Technology,Shaanxi University of Science and Technology,92,83
3444,Pohang University of Science and Technology,Changsha University of Science and Technology,93,86
3522,Pohang University of Science and Technology,Hunan University of Science and Technology,94,87
3613,Pohang University of Science and Technology,Harbin University of Science and Technology,93,86
3643,Pohang University of Science and Technology,Southern University of Science and Technology,91,82
3885,Pohang University of Science and Technology,AGH University of Science and Technology,94,87
3968,Pohang University of Science and Technology,Cochin University of Science and Technology,93,86
4294,Pohang University of Science and Technology,University of Science and Technology,91,91
4871,Pohang University of Science and Technology,Shandong University of Science and Technology,93,82
4967,Pohang University of Science and Technology,Wuhan University of Science and Technology,94,85
5037,Pohang University of Science and Technology,Takming University of Science and Technology,92,83
6116,Pohang University of Science and Technology,Jordan University of Science and Technology,93,86
6828,Pohang University of Science and Technology,Changchun University of Science and Technology,92,85
7029,Pohang University of Science and Technology,China University of Science and Technology,92,85
7457,Pohang University of Science and Technology,Xi'an University of Science and Technology,92,85
7573,Pohang University of Science and Technology,Anhui University of Science and Technology,92,85
8721,Pohang University of Science and Technology,Chang Gung University of Science and Technology,91,84
9649,Pohang University of Science and Technology,Wegian University of Science and Technology,91,84
9723,National Pingtung University of Science and Technology,National Taiwan University of Science and Technology,91,85
6070,Henley Management College Greenlands,Henley Management College Greenlands,100,100
8448,Det Norske Veritas Pte Ltd,Det Norske Veritas Pty Ltd,96,96
9114,Innsbruck University School of Management,Innsbruck University School of Management,100,100
1541,Det Norske Veritas Pte. Ltd.,Det Norske Veritas Pty Ltd,93,96
